"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.90711034985337e-07,1.13958637469997,0.315,0.149,0.0121910497674912,"8","TFE3"
7.07723231583794e-07,0.473105824492863,0.954,0.792,0.012491315037454,"8","CAPZA1"
7.7960635184341e-07,0.969738834057305,0.423,0.224,0.0137600521100362,"8","MFSD12"
7.82274678121072e-07,0.836371456482153,0.846,0.706,0.0138071480688369,"8","TMCC1"
8.03946112998503e-07,0.53599616609539,0.892,0.704,0.0141896488944236,"8","MTMR3"
8.22736392682646e-07,1.31589040999759,0.262,0.117,0.0145212973308487,"8","IQSEC2"
8.52986696286771e-07,0.492303627235319,0.977,0.887,0.0150552151894615,"8","ITSN2"
9.54482997520579e-07,1.02002552382587,0.331,0.164,0.0168466249062382,"8","C16orf70"
9.55225121180104e-07,1.24484694991999,0.3,0.141,0.0168597233888288,"8","SCRN1"
9.734552615603e-07,1.67489325598066,0.469,0.305,0.0171814853665393,"8","SAMD4A"
9.7920916631853e-07,0.862113850193314,0.615,0.405,0.017283041785522,"8","CTNNBL1"
9.89607358574271e-07,1.02350182884581,0.354,0.189,0.0174665698788359,"8","ZNF577"
1.00670078055942e-06,1.6019469548031,0.292,0.141,0.0177682687768738,"8","SKP2"
1.01445044440971e-06,0.807122252182144,0.692,0.473,0.0179050503438313,"8","NUP58"
1.02669973597572e-06,0.835130771041807,0.846,0.763,0.0181212503399714,"8","NFKB1"
1.03428963467579e-06,0.864643221049921,0.423,0.233,0.0182552120520276,"8","ITPK1"
1.03689201732138e-06,0.644441756072858,0.431,0.23,0.0183011441057223,"8","UBTD2"
1.05924638011819e-06,0.739431554553713,0.723,0.502,0.018695698609086,"8","DNAJC13"
1.09190917146066e-06,0.840610233065201,0.569,0.354,0.0192721968762806,"8","RELL1"
1.13444154066282e-06,1.24983995102662,0.277,0.127,0.0200228931926988,"8","PLBD2"
1.17598455683411e-06,0.362074367788598,0.992,0.874,0.0207561274281221,"8","SETX"
1.17948381297625e-06,0.916557221947896,0.338,0.162,0.0208178892990308,"8","PPP1R9B"
1.18349079213717e-06,0.750305672643172,0.485,0.276,0.020888612481221,"8","KIAA0556"
