"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000733611302359949,0.302179381850037,0.818,0.665,1,"1","PCGF5"
0.000750624398702256,0.335613531309784,0.755,0.638,1,"1","ARHGAP20"
0.000757616274070244,0.37253038903476,0.761,0.567,1,"1","SPIRE1"
0.000760649987274726,0.545274609292191,0.491,0.324,1,"1","USP6NL"
0.000762154424561034,0.446410035718288,0.34,0.199,1,"1","KCND3"
0.00076426202039251,0.517552900036683,0.421,0.259,1,"1","FAM156A"
0.000765037639251998,0.592614208010999,0.252,0.13,1,"1","NUDT7"
0.000771863364048053,0.525586387320832,0.421,0.274,1,"1","INPP5F"
0.000782693659925025,0.37543331840683,0.843,0.699,1,"1","SYNRG"
0.000784415805426379,0.473832631405197,0.459,0.293,1,"1","UBXN2B"
0.000802015747018981,0.324574806810315,0.761,0.594,1,"1","NOL10"
0.000806917266677247,1.30457357106719,0.252,0.144,1,"1","DPP10"
0.000816186872002751,0.57869523987329,0.321,0.186,1,"1","CAP2"
0.000816427734902393,0.354712668167419,0.711,0.5,1,"1","KIZ"
0.000829242686464983,0.411203143585442,0.711,0.588,1,"1","SNX21"
0.000829620301041722,0.347718653937533,0.868,0.743,1,"1","PRKRIP1"
0.000836567501364855,0.483642791296038,0.415,0.253,1,"1","GNA14"
0.000883083383279768,0.486908284128672,0.692,0.529,1,"1","Z98749.3"
0.000888524059292719,0.372872445157563,0.811,0.711,1,"1","STXBP1"
0.000903508208824229,0.953193718982654,0.365,0.234,1,"1","C9orf84"
0.000908169902464273,0.421757259115427,0.465,0.324,1,"1","ACBD5"
0.000916356230193749,0.475005410159803,0.648,0.462,1,"1","RPS6KB1"
0.000922900319444763,0.320653661100713,0.893,0.724,1,"1","HMBOX1"
0.000929617724084761,0.979406002132192,0.308,0.188,1,"1","RAVER2"
0.000935669933045417,0.668675629237169,0.522,0.393,1,"1","IGF2BP2"
0.000939405945672102,0.259841975321207,0.969,0.885,1,"1","ZNF207"
0.000940742161559402,0.587490552973841,0.535,0.387,1,"1","NUDT5"
0.000946571340596581,0.836767389723928,0.327,0.205,1,"1","ASB7"
0.000947634427350056,0.796246072988531,0.27,0.146,1,"1","TTC32"
0.000952776828328151,0.300961792953149,0.906,0.81,1,"1","R3HDM2"
0.000956051273347174,0.279679075657726,0.994,0.916,1,"1","OGT"
0.000965516853233205,0.289353216172412,0.956,0.849,1,"1","NSMCE2"
0.000986037023903111,0.736011996271546,0.421,0.285,1,"1","FAM228B"
0.000990331965374278,0.724479792376308,0.365,0.236,1,"1","ASB8"
0.00100206629025478,0.328392302965453,0.943,0.858,1,"1","ECE1"
0.00101466472481241,0.877693195801164,0.277,0.163,1,"1","PLAG1"
0.00102142977062009,0.421356373385153,0.654,0.485,1,"1","MAN2C1"
0.00102789957112079,0.485130724235142,0.509,0.328,1,"1","NAGLU"
0.00103246410408734,0.796074450509189,0.308,0.186,1,"1","ACP6"
0.0010814984535762,0.402242467138744,0.786,0.699,1,"1","NAP1L1"
0.00110180581043032,0.591082136739733,0.465,0.326,1,"1","LMCD1"
0.00110430286547862,0.601985572345203,0.547,0.416,1,"1","HACL1"
0.00111599998408573,0.344093311038819,0.673,0.519,1,"1","PTPRK"
0.00113139244548141,0.375459668073033,0.78,0.646,1,"1","NFX1"
0.00113520454201766,0.465499587621534,0.805,0.676,1,"1","IST1"
0.00115209508198159,0.594093338126574,0.522,0.372,1,"1","TBC1D1"
0.00115311855664943,0.66459543382632,0.503,0.383,1,"1","METTL9"
0.00123098333661571,0.489809473254748,0.409,0.253,1,"1","TKT"
0.00124392504403623,0.782191293669352,0.346,0.224,1,"1","C4orf36"
0.00126038944419394,0.336835257802497,0.717,0.571,1,"1","ICE2"
0.00126548580101391,0.614809852968447,0.509,0.372,1,"1","PLA2G4A"
0.00127350704882811,0.451156809336875,0.805,0.745,1,"1","DDX46"
0.00127540610244206,0.605952954808782,0.346,0.207,1,"1","ZNF682"
0.00130844424840631,0.764268056496101,0.264,0.146,1,"1","UBAC1"
0.00133060415915811,0.371703078586376,0.252,0.13,1,"1","SLC25A18"
0.00135140522157803,0.288139739279359,0.962,0.904,1,"1","PHF3"
0.00137261477934164,0.59183756080097,0.56,0.414,1,"1","TCAIM"
0.00137775531982758,0.342592369878492,0.497,0.326,1,"1","SWT1"
0.00138343952656572,0.556179858265976,0.547,0.404,1,"1","ZC3H12C"
0.00138759288259518,0.346650508807326,0.887,0.722,1,"1","NCOA6"
0.00138866296692785,0.343305518954739,0.723,0.573,1,"1","HSD17B4"
0.00140684204184147,0.386933254684054,0.748,0.621,1,"1","JAK2"
0.00143666214786923,0.441584792303697,0.635,0.456,1,"1","CC2D2A"
0.00145881480836154,0.369265683729506,0.635,0.494,1,"1","HACE1"
0.00146713466230948,0.884671359647015,0.296,0.178,1,"1","C1QTNF1"
0.00148469058098949,0.370686316119264,0.78,0.657,1,"1","SLC39A11"
0.00148803592140398,0.403118730743392,0.56,0.406,1,"1","TIMMDC1"
0.00149129330903024,0.322545284435596,0.83,0.69,1,"1","C6orf62"
0.00153794946654835,0.271151940887624,0.881,0.755,1,"1","RABGAP1"
0.00158377636462477,0.412689312747485,0.61,0.454,1,"1","RTTN"
0.00161487059441283,0.325798957250688,0.962,0.923,1,"1","ARHGAP10"
